metrica,linkage,k,silhueta_media,cofenetica,n_grupos_obtidos,maior_grupo,menor_grupo
euclidean,ward,2,0.40909344051301183,0.5981911501003189,2,5864,1254
euclidean,ward,3,0.26151864735396413,0.5981911501003189,3,4638,1226
euclidean,ward,4,0.17854180548320261,0.5981911501003189,4,3345,1226
euclidean,ward,5,0.14135399019574668,0.5981911501003189,5,2465,880
euclidean,ward,6,0.14378054929242445,0.5981911501003189,6,2465,276
euclidean,ward,7,0.1537542802122366,0.5981911501003189,7,2465,276
euclidean,ward,8,0.1608771052015748,0.5981911501003189,8,2214,251
euclidean,complete,2,,0.32833375670056963,1,7118,7118
euclidean,complete,3,,0.32833375670056963,1,7118,7118
euclidean,complete,4,0.12728805369347843,0.32833375670056963,4,3437,85
euclidean,complete,5,0.11581634072767422,0.32833375670056963,5,3437,50
euclidean,complete,6,0.14869390299556606,0.32833375670056963,6,2001,50
euclidean,complete,7,0.14727232981350427,0.32833375670056963,7,1925,50
euclidean,complete,8,0.13658661189525184,0.32833375670056963,8,1925,50
euclidean,average,2,0.5281664052044363,0.7668533892004045,2,7105,13
euclidean,average,3,0.43875178846457463,0.7668533892004045,3,6591,13
euclidean,average,4,0.38344916853093086,0.7668533892004045,4,6537,13
euclidean,average,5,0.34208987331723173,0.7668533892004045,5,6393,13
euclidean,average,6,0.2797474971303068,0.7668533892004045,6,6083,13
euclidean,average,7,0.23514985220083773,0.7668533892004045,7,6083,13
euclidean,average,8,0.19954216667225502,0.7668533892004045,8,6083,13
euclidean,single,2,0.5021334195986521,0.606014898424924,2,7115,3
euclidean,single,3,0.5033885348010104,0.606014898424924,3,7110,3
euclidean,single,4,0.4894806564019176,0.606014898424924,4,7106,3
euclidean,single,5,0.4246552100469516,0.606014898424924,5,7105,1
euclidean,single,6,0.3947799441497073,0.606014898424924,6,7097,1
euclidean,single,7,0.3914931910286751,0.606014898424924,7,7096,1
euclidean,single,8,0.39123002625148623,0.606014898424924,8,7096,1
